Name,Address,Votes,Rating
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
"Tila's Mexican Restaurante & Bar
                                    "," 1111 S Shepherd Drive, Houston 77019",70 votes,"
                                        3.8
                                    "
"Tita's Taco House
                                    "," 320 Wilson Road, Humble 77338",61 votes,"
                                        4.2
                                    "
"Las Ventanas Restaurant and Cantina
                                    "," 14555 Grisby Road, Houston 77079",55 votes,"
                                        3.9
                                    "
"Berryhill Baja Grill
                                    "," 9595 Six Pines Drive, The Woodlands 77380",71 votes,"
                                        3.9
                                    "
"Bronco Burrito
                                    ", 4917 Broadway Avenue J 77551,52 votes,"
                                        4.3
                                    "
"Las Alamedas
                                    "," 23501 Cinco Ranch Boulevard, Katy 77494",69 votes,"
                                        3.2
                                    "
"Irma's
                                    "," 22 N Chenevert Street, Houston 77002",73 votes,"
                                        3.8
                                    "
"Cadillac Bar
                                    ", 1802 Shepherd Drive 77007,",","
                                        3.4
                                    "
"Yucatan Taco Stand Tequila Bar & Grill
                                    "," 24 Water Way, The Woodlands 77380",",","
                                        3.7
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"Johnny Tamale Cantina
                                    "," 4647 E Sam Houston Pky S, Pasadena 77505",61 votes,"
                                        4.1
                                    "
"GUAD Texas Chef Mex
                                    "," 2925 Southwest Freeway, Houston 77098",63 votes,"
                                        4.1
                                    "
"Mamacita's Mexican Restaurant
                                    ", 515 East Nasa Road 1 77598,92 votes,"
                                        4.0
                                    "
"Gringo's Mexican Cafe
                                    "," 12330 SW Fwy, Stafford 77477",71 votes,"
                                        4.2
                                    "
"Emma's Grill and Mex-Mex Bistro
                                    "," 5096 Broadway Street, Pearland 77581",64 votes,"
                                        4.1
                                    "
"El Toro Mexican Restaurant
                                    ", 5810 Garth Road 77521,76 votes,"
                                        4.1
                                    "
